source_group,topic_mapping,inventory,public_derived_use,private_preservation,verification_method,status,notes
"D coursework mirror","University coursework; per-course chapter mapping required","571 files; 988776752 bytes","Privacy-reviewed user-authored code, figures, calculations, and summaries","Keep source mirror unchanged","Recursive file count and logical-byte total","PASS","Inventory snapshot only; overlapping views are not summed"
"D coursework major formats","Multi-course source classification","PNG 378; PDF 76; ZIP 7; PPTX 4; VHDL 4; XLSX 3; EXE 3; DOCX 2; HWPX 2; MP4 1","Use only rights-reviewed and privacy-reviewed derivatives","Keep original files private","Extension classification","PASS","Other formats exist but are intentionally not enumerated"
"Coursework PDFs","Course chapters, equations, figures, examples, and references","76 files; 4306 pages; encrypted 0; parse failures 0","Page citations, rewritten explanations, and rights-reviewed crops","Keep original PDFs private","PDF page parser manifest","PASS","Parser success does not grant publication rights"
"Coursework course folders","Course hubs and topic plans","15 folders; 10 nonempty; 5 empty; STM absent","Derivatives from nonempty folders after file-level review","Preserve all folders including empty folders","Folder existence and nonempty check","BLOCKED","Full course coverage is incomplete"
"OUTTA parent archive","Deep-learning bootcamp and P-1/P-2/P-3","65 entries; 785961658 uncompressed bytes","Rewritten study notes and sanitized user-derived outputs","Keep original archive private","Archive central-directory inventory","PASS","Parent view; do not add to nested view"
"OUTTA nested material","Lecture topics, notebooks, exercises, and project material","5739 items; 805124280 bytes","Topic summaries, sanitized notebooks, and derived figures after rights review","Keep nested review copy private","Recursive nested item and logical-byte count","PASS","Nested view overlaps the parent archive"
"OUTTA material classes","Day/topic pages and project execution records","16 PDFs; 34 notebook-like files; 3 nested ZIP files","Page-level notes and cell/output-level derivatives","Keep instructor material and original notebooks private","Format classification","BLOCKED","Inventory passes; complete page and cell mapping is not verified"
"Three Kaggle files","Kaggle P-1/P-2/P-3","3 files included in the current ledger","Sanitized code and verified derived results only","Preserve originals outside public repositories","D-drive ledger path and SHA-256 verification","PASS","Raw notebooks remain private"
"Private Master ledger snapshot","All private source groups represented at snapshot time","6380 items; 3137214983 bytes; matching JSON and CSV paths","Classification metadata only","Retain immutable source and ledger copies","Matching JSON/CSV paths, byte totals, and SHA-256","PASS","JSON 6B6FD14AB0E80AC1338DE9877F1214BAA9676248CC31671BBFC445AEEC5B89A0; CSV C5AE963078220925EA7FEB30DF23E2A5F289CABC7A23AB4C73B9CAF1709669D9"
"OneDrive freshness comparison","Source freshness and duplicate detection","143288 metadata entries; 140791485603 logical bytes; 143288 offline/reparse","Metadata only; no source content published","5791 D-staging matches; 11613055300 bytes","Read-only relative-path, size, timestamp, and attribute comparison","PARTIAL","137497 entries absent from D staging; matching entries had 0 size mismatch and 0 newer-source mismatch; no placeholder hydration or content hash"
"Notion binary attachments","External-course source material","Binary inventory not retrievable through connector","Connector-visible text and metadata only","Original attachments remain in source service","Connector metadata and page-text access only","PLATFORM LIMITATION","No binary hash or content-coverage claim"
